parameter,choice
January,01-month
February,02-month
March,03-month
April,04-month
May,05-month
June,06-month
July,07-month
August,08-month
September,09-month
October,10-month
November,11-month
December,12-month
Winter,01-season
Spring,04-season
Summer,07-season
Autumn,10-season
Annual,year-year
